text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @SadiqKh66583093: Putting elected MNA mohsin dawar and ali wazir under bar is really a big shame for state.The state must change their d…,FALSE,0,NA,2018-12-01T11:33:31Z,FALSE,NA,1.06883E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",naeemkh85386863,15,TRUE,FALSE,NA,NA
"RT @Aliwazirna50: Thanks to all for your support and solidarity  around the glob.
..............
And You! تورمخیہ
We will not surrendered a…",FALSE,0,NA,2018-12-01T11:32:25Z,FALSE,NA,1.06883E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",wisal13100,866,TRUE,FALSE,NA,NA
"RT @ismatshahjehan: If PTM leaders were to collect funds for Taliban or supply youth as gun-fodder for strategic depth,@Aliwazirna50 &amp; @mjd…",FALSE,0,NA,2018-12-01T11:32:23Z,FALSE,NA,1.06883E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PirJabbar,140,TRUE,FALSE,NA,NA
"RT @Aliwazirna50: Thanks to all for your support and solidarity  around the glob.
..............
And You! تورمخیہ
We will not surrendered a…",FALSE,0,NA,2018-12-01T11:28:59Z,FALSE,NA,1.06883E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PirJabbar,866,TRUE,FALSE,NA,NA
"RT @Aliwazirna50: Thanks to all for your support and solidarity  around the glob.
..............
And You! تورمخیہ
We will not surrendered a…",FALSE,0,NA,2018-12-01T11:28:50Z,FALSE,NA,1.06883E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AhmadGhurzang1,866,TRUE,FALSE,NA,NA
"#ShameOnFIA 
Shameless and cowardly attempt by Army to coerce other institutions into illegal and cowardly acts.",FALSE,0,NA,2018-12-01T11:23:49Z,FALSE,NA,1.06883E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ShehzadaQatari,0,FALSE,FALSE,NA,NA
RT @AlamZaibPK: state authorities are exposing their selves by making conflict with pashtun leaders preaching non violence and believes in…,FALSE,0,NA,2018-12-01T11:23:47Z,FALSE,NA,1.06883E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MazloomPashteen,61,TRUE,FALSE,NA,NA
"RT @Aliwazirna50: Thanks to all for your support and solidarity  around the glob.
..............
And You! تورمخیہ
We will not surrendered a…",FALSE,0,NA,2018-12-01T11:22:12Z,FALSE,NA,1.06883E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KakarGulistan,866,TRUE,FALSE,NA,NA
RT @tareenafghan: It is utter failure of state that has allowed undemocratic forces to run the affairs of government. Putting the names of…,FALSE,0,NA,2018-12-01T11:21:00Z,FALSE,NA,1.06883E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",naeemkh85386863,13,TRUE,FALSE,NA,NA
"That is, the state is now ready to face our claims in courts. It is time to raise our sound in courts for our claim… https://t.co/CrZL8g1vt6",FALSE,0,NA,2018-12-01T11:17:20Z,TRUE,NA,1.06883E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nisar_shamse,0,FALSE,FALSE,NA,NA
RT @tareenafghan: It is utter failure of state that has allowed undemocratic forces to run the affairs of government. Putting the names of…,FALSE,0,NA,2018-12-01T11:16:43Z,FALSE,NA,1.06883E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Waseelakakar,13,TRUE,FALSE,NA,NA
"RT @mo2005: Under what law democratically elected members arrested , does the mandate of waziristan people count  #ShameOnFIA",FALSE,0,NA,2018-12-01T11:12:59Z,FALSE,NA,1.06883E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SUKhattak,24,TRUE,FALSE,NA,NA
"RT @ismatshahjehan: If PTM leaders were to collect funds for Taliban or supply youth as gun-fodder for strategic depth,@Aliwazirna50 &amp; @mjd…",FALSE,0,NA,2018-12-01T11:11:43Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Obaidul36745879,140,TRUE,FALSE,NA,NA
"RT @Noor1nsafian: Ali wazir and Mohsin Dawar are our leader. If you Guru Nank's child, any clause
take your way❗
#PTMhijacked
#ShameOnFIA h…",FALSE,0,NA,2018-12-01T11:09:57Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",WYARH,3,TRUE,FALSE,NA,NA
"RT @ImZainUllahKhan: Bacha khan Historical Words
#ShameOnFIA https://t.co/OX12iLGurB",FALSE,0,NA,2018-12-01T11:09:32Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MSD33489678,2,TRUE,FALSE,NA,NA
