text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@Mobinamalala @WrrangaLunri2 @Xadeejournalist @BushraGohar @a_siab @MianIftikharHus @omar_quraishi @RehamKhan1… https://t.co/aIes74XLF2,FALSE,0,Mobinamalala,2018-12-01T11:18:28Z,TRUE,1.06852E+18,1.06883E+18,9.53E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",tweetdancerabc,0,FALSE,FALSE,NA,NA
"RT @mrymrashidkhan: The PTM’s agendas are soon going to end now.
News say that the both traitors were heading towards a meeting in Dubai wi…",FALSE,0,NA,2018-12-01T11:13:34Z,FALSE,NA,1.06883E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BasharatSaqib,327,TRUE,FALSE,NA,NA
"RT @DrAliya7: @ImranKhanPTI #WeStandWithFIA 
 Manzoor Pashteen and company will never  say anything agaist USA.. NaTo and Afghan ... Cz the…",FALSE,0,NA,2018-12-01T11:11:38Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bilal_bashir77,14,TRUE,FALSE,NA,NA
RT @iamAhmadokz: #WeStandWithFIA Now government should take action strictly against PTM. https://t.co/wHvWe3Jx0R,FALSE,0,NA,2018-12-01T11:08:24Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",azadi_pk,166,TRUE,FALSE,NA,NA
"RT @DrAliya7: @ImranKhanPTI #WeStandWithFIA 
 Manzoor Pashteen and company will never  say anything agaist USA.. NaTo and Afghan ... Cz the…",FALSE,0,NA,2018-12-01T11:07:59Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AdilWaheedK,14,TRUE,FALSE,NA,NA
"RT @momina7867: What a great move by FIA...
Well done FIA...
#WeStandWithFIA https://t.co/nmK45qnvwY",FALSE,0,NA,2018-12-01T11:07:03Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",imanahil1,95,TRUE,FALSE,NA,NA
@JawairiaRSK @Aliwazirna50 @mjdawar @Saniakhanhyat @MirMAKOfficial @Jana_Shah @asamkhan852 @a_siab #Puppets always… https://t.co/GmEaWEjcnW,FALSE,0,JawairiaRSK,2018-12-01T11:06:29Z,TRUE,1.06878E+18,1.06882E+18,4918919867,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ZeeshanFaridoon,0,FALSE,FALSE,NA,NA
"RT @BhittaniKhannnn: Hypocrisy, thy name is Khooni Liberal 😂

#WeStandWithFIA https://t.co/W9HNQGRw2d",FALSE,0,NA,2018-12-01T11:04:50Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",xahidmalik,210,TRUE,FALSE,NA,NA
"RT @akxing: Ali Wazir and Mohsin Dawar should be dealt with iron hands. Enough of emotional melodrama!
#PTMhijacked #WeStandWithFIA",FALSE,0,NA,2018-12-01T10:55:06Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",devilzteacher,2,TRUE,FALSE,NA,NA
"RT @DrAliya7: @ImranKhanPTI #WeStandWithFIA 
 Manzoor Pashteen and company will never  say anything agaist USA.. NaTo and Afghan ... Cz the…",FALSE,0,NA,2018-12-01T10:54:27Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Lalpari123,14,TRUE,FALSE,NA,NA
RT @PhdIkram: Mohsin Dawar and Ali Wazir were arrested by the Federal Investigation Agency (FIA) after their names were found on the Provis…,FALSE,0,NA,2018-12-01T10:54:24Z,FALSE,NA,1.06882E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",lahoriiking,6,TRUE,FALSE,NA,NA
