text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @theRealYLH: I can’t believe I am going to tweet this. But I for one am glad that we have a fighter like @ImranKhanPTI at the helm. I se…,FALSE,0,NA,11/24/2018 16:17,FALSE,NA,1.06637E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",mubbashar_h,107,TRUE,FALSE,NA,NA
"RT @YaSiR___kHaN: PM Imran Khan have won our hearts: Sikhs reaction on Kartarpur Border Opening. 

Pm Imran Khan is doing alot for humanity…",FALSE,0,NA,11/24/2018 16:17,FALSE,NA,1.06637E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mahrukh_Irshad,9,TRUE,FALSE,NA,NA
"Kartarpur corridor: Citing Berlin Wall, PM Modi holds out promise of pilgrims’ progress
https://t.co/wwE7jeH9Pq https://t.co/d18yuhsCIz",FALSE,0,NA,11/24/2018 16:16,FALSE,NA,1.06637E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Prakash4BJP,0,FALSE,FALSE,NA,NA
"RT @BefourMaryam: There are so many people wishing ill upon imran Khan no matter what he does, please do pray for him and his well being. A…",FALSE,0,NA,11/24/2018 16:16,FALSE,NA,1.06637E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KaynatArifPTI,2,TRUE,FALSE,NA,NA
RT @MISS_PAKISTAN47: PLEASE DON'T COME AROUND MY PROFILE SAYING HATEFUL THINGS ABOUT IMRAN KHAN!!! IT WAS NAWAZ SHARIF WHO SCREWED UP PAKIS…,FALSE,0,NA,11/24/2018 16:16,FALSE,NA,1.06637E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AayatKh42331038,2,TRUE,FALSE,NA,NA
RT @tariqasif: The trust on current government by overseas Pakistanis are far more than ever before. We believe this government under the l…,FALSE,0,NA,11/24/2018 16:16,FALSE,NA,1.06637E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AamirJadoon14,38,TRUE,FALSE,NA,NA
"RT @MehrTarar: And Khadim Hussain Rizvi is arrested.

Yes, I trusted the Imran Khan government to do the right thing, and I wasn't wrong.",FALSE,0,NA,11/24/2018 16:16,FALSE,NA,1.06637E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Arslan7X1,276,TRUE,FALSE,NA,NA
RT @amnajabeen11: We all are thankful to the PM Imran khan. Good strategy so far. #NationThanksTheState https://t.co/rPTFUh4vN5,FALSE,0,NA,11/24/2018 16:16,FALSE,NA,1.06636E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RuhidaPK,23,TRUE,FALSE,NA,NA
"RT @jahan_virk: Dear liberals and yellow journalists,,,
This is what Imran Khan says a month ago,
""Riyasat say matt takrana""
Khadim Hussain…",FALSE,0,NA,11/24/2018 16:16,FALSE,NA,1.06636E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RuhidaPK,32,TRUE,FALSE,NA,NA
RT @gulf_news: Look: Pakistan PM Imran Khan orders tents for the homeless https://t.co/zGzh0uOblA,FALSE,0,NA,11/24/2018 16:16,FALSE,NA,1.06636E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",umerfarooq9,188,TRUE,FALSE,NA,NA
"RT @shahzadkhanmis1: They are looking for an NRO,
“Do whatever you want but you won’t get an NRO.”
Imran Khan 
#NRO_<U+0646><U+06C1><U+06CC><U+06BA>_<U+0645><U+0644><U+06D2>_<U+06AF><U+0627> https://t.c…",FALSE,0,NA,11/24/2018 16:16,FALSE,NA,1.06636E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Saeedhu28917272,47,TRUE,FALSE,NA,NA
"RT @oabbasi64: #NRO_<U+0646><U+06C1><U+06CC><U+06BA>_<U+0645><U+0644><U+06D2>_<U+06AF><U+0627>
Promising that all corrupt leaders will go to jail,Pakistani PM Imran Khan has said that no politicians and…",FALSE,0,NA,11/24/2018 16:15,FALSE,NA,1.06636E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Saeedhu28917272,20,TRUE,FALSE,NA,NA
RT @BajiPlease: Another political blunder by Imran Khan. Economy is crippled and he is worried about cold - Talat Hussain https://t.co/uTAS…,FALSE,0,NA,11/24/2018 16:15,FALSE,NA,1.06636E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mmohsin85,360,TRUE,FALSE,NA,NA
"RT @MehrTarar: Aasia bibi released.
Khadim Hussain Rizvi arrested. 

Thank you, Prime Minister Imran Khan",FALSE,0,NA,11/24/2018 16:15,FALSE,NA,1.06636E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",UmerFar34835393,887,TRUE,FALSE,NA,NA
"RT @iUsmanaliii: 1) Three generations of ppp
2) 100 days of Imran Khan https://t.co/pNybUluQT5",FALSE,0,NA,11/24/2018 16:15,FALSE,NA,1.06636E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HaAhmedzai,80,TRUE,FALSE,NA,NA
"RT @iUsmanaliii: 1) Three generations of ppp
2) 100 days of Imran Khan https://t.co/pNybUluQT5",FALSE,0,NA,11/24/2018 16:15,FALSE,NA,1.06636E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mohtashim02,80,TRUE,FALSE,NA,NA
RT @gulf_news: Look: Pakistan PM Imran Khan orders tents for the homeless https://t.co/zGzh0uOblA,FALSE,0,NA,11/24/2018 16:15,FALSE,NA,1.06636E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MustajabGhani,188,TRUE,FALSE,NA,NA
