text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @USEmbassyAbuja: In a corrupt environment where the government and businesses cannot be trusted, investment in a country’s economy can d…",FALSE,0,NA,2018-12-09T12:37:13Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",VibraniumHeartx,113,TRUE,FALSE,NA,NA
"RT @Step_Up_Nigeria: “Daddy why? Who asked you for bribe money? Be corruption free and a law abiding citizen...”
- A 10 year old primary 4…",FALSE,0,NA,2018-12-09T12:37:11Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",musabalarebe,8,TRUE,FALSE,NA,NA
"Young people in Africa, 
The fight against corruption is yours.
Together we can!
@pacacng
@_AfricanUnion
#AntiCorruptionDay 
#AYCAC2018",FALSE,0,NA,2018-12-09T12:37:10Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Houstonsonn,0,FALSE,FALSE,NA,NA
RT @USEmbassyAbuja: We must step up our fight against corruption to ensure that it does not steal our future prosperity and stunt our aspir…,FALSE,0,NA,2018-12-09T12:37:07Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mustaphaubandom,61,TRUE,FALSE,NA,NA
"RT @MaheshJoshi_MJ: What a coincidence 😢
Today is #AntiCorruptionDay and also BIRTHDAY of TDK ....Accused in #NationalHerald Case 

@Swamy39",FALSE,0,NA,2018-12-09T12:37:01Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vijay_rajan,82,TRUE,FALSE,NA,NA
NAB is dead horse nab can't arrest big fishes pro status quo judges in lower courts protect corrupt elite by granti… https://t.co/yMkrYJyhuk,FALSE,0,NA,2018-12-09T12:37:01Z,TRUE,NA,1.07175E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MAfaqAliKhan,0,FALSE,FALSE,NA,NA
"RT @CurtisSChin: #Corruption in East Asia; from least to most corrupt, via Transparency Int’l @anticorruption; #CPI2017 

13 #HongKong 🇭🇰
2…",FALSE,0,NA,2018-12-09T12:36:59Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MaamSyj,1,TRUE,FALSE,NA,NA
Happy #AntiCorruptionDay to @INCIndia https://t.co/s531Mx1cCm,FALSE,0,NA,2018-12-09T12:36:55Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",savitha_rao,0,FALSE,FALSE,NA,NA
"RT @CurtisSChin: Who you calling corrupt? It’s all relative... #AntiCorruptionDay 
#Corruption in the #BRIC | #BRICS nations, from perceive…",FALSE,0,NA,2018-12-09T12:36:52Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TheRudinGroup,3,TRUE,FALSE,NA,NA
"RT @rossomomentum: RT for #AntiCorruptionDay #AntiCorruptionDay2018 by every socialist #SocialistSunday , every citizen who believes in dem…",FALSE,0,NA,2018-12-09T12:36:52Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",itsme3636,12,TRUE,FALSE,NA,NA
