text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @FarhatullahB: Notification withdrawing earlier order expelling Manzoor Pashteen from province issued by Sindh government tonight. https…,FALSE,0,NA,2018-12-09T12:45:27Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jalil169,197,TRUE,FALSE,NA,NA
RT @IhteshamAfghan: Pashtun Tahafuz Movement is thankful to Chairman PPP Billawal Bhutto Zardari and the great political legend Farhat Ulla…,FALSE,0,NA,2018-12-09T12:45:09Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",iLawangeen,12,TRUE,FALSE,NA,NA
"RT @FarhatullahB: CM Sindh has ordered withdrawal of expulsion order of Manzoor Pashteen. Thank you Chairman BBZ, CM Murad. It is not victo…",FALSE,0,NA,2018-12-09T12:44:35Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JEHANZEBSOOMRO,444,TRUE,FALSE,NA,NA
RT @omar_quraishi: You can always count on BBZ to do the right thing - Sindh Govt withdraws order banning entry into province of Manzoor Pa…,FALSE,0,NA,2018-12-09T12:44:00Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yousafraaza,45,TRUE,FALSE,NA,NA
RT @memzarma: Hafiz Saeed's Pakistan cannot tolerate Manzoor Pashteen. This state will protect him even if we have to face FATF black listi…,FALSE,0,NA,2018-12-09T12:43:40Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RealwalayShahji,18,TRUE,FALSE,NA,NA
"RT @FarhatullahB: CM Sindh has ordered withdrawal of expulsion order of Manzoor Pashteen. Thank you Chairman BBZ, CM Murad. It is not victo…",FALSE,0,NA,2018-12-09T12:42:41Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yousafraaza,444,TRUE,FALSE,NA,NA
"RT @JavedNLaghari: Ban on Manzoor Pashteen to enter in Sindh is lifted, Chairman PPP @BBhuttoZardari well decision, You are always on right…",FALSE,0,NA,2018-12-09T12:40:52Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rehan_PPP,61,TRUE,FALSE,NA,NA
@Mobinamalala @Xadeejournalist @gabeeno @RehamKhan1 @BushraGohar @a_siab @SF_Babar @marvisirmed @pashteen_idrees… https://t.co/B2H4zaqLap,FALSE,0,Mobinamalala,2018-12-09T12:40:37Z,TRUE,1.07166E+18,1.07175E+18,9.53E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",asaduoa,0,FALSE,FALSE,NA,NA
"RT @Olasyaar007: Even if death is not the final outcome &amp; the victim of enforced disappearance is eventually released from the nightmare, t…",FALSE,0,NA,2018-12-09T12:40:30Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Shahid_Pashteen,12,TRUE,FALSE,NA,NA
World especially those who aids #Pakistan is shamelessly and criminally silent over the barbarism of Pakistan and i… https://t.co/Wew6y7WZkW,FALSE,2,NA,2018-12-09T12:40:09Z,TRUE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Shahid_Pashteen,0,FALSE,FALSE,NA,NA
"RT @MirMAKOfficial: Mohsin’s Last Name Is Not DAWAR. It is JAVED. So it is not #MohsinDawar it’s Mohsin Javed. 

Ali’s last name is not Waz…",FALSE,0,NA,2018-12-09T12:39:38Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Malik_sViews,177,TRUE,FALSE,NA,NA
"RT @tanvir_maqsood: PPP SMT circulating an unsigned  letter showing evac order of manzoor pashteen as withdrawn , reasonably sure that its…",FALSE,0,NA,2018-12-09T12:39:00Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AliWaqar82,1,TRUE,FALSE,NA,NA
"PPP SMT circulating an unsigned  letter showing evac order of manzoor pashteen as withdrawn , reasonably sure that its a fake letter",FALSE,0,NA,2018-12-09T12:38:11Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",tanvir_maqsood,1,FALSE,FALSE,NA,NA
RT @FarhatullahB: Notification withdrawing earlier order expelling Manzoor Pashteen from province issued by Sindh government tonight. https…,FALSE,0,NA,2018-12-09T12:38:07Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ifffytarar,197,TRUE,FALSE,NA,NA
@Mobinamalala @Xadeejournalist @gabeeno @RehamKhan1 @BushraGohar @a_siab @SF_Babar @marvisirmed @pashteen_idrees… https://t.co/gMSS8ORHuq,FALSE,0,Mobinamalala,2018-12-09T12:36:44Z,TRUE,1.07166E+18,1.07175E+18,9.53E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AzharPashtoon,0,FALSE,FALSE,NA,NA
RT @shakeelaawarani: 30 Days was Completed Of Baloch missing persons Families in The @VBMP Hunger Strike Camp in #Quetta Appealing For safe…,FALSE,0,NA,2018-12-09T12:36:42Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shabir_pashteen,29,TRUE,FALSE,NA,NA
"RT @hafsa__baloch: Family members, friends, colleagues or any human rights individual who campaign against enforced disappearances or stand…",FALSE,0,NA,2018-12-09T12:36:24Z,FALSE,NA,1.07175E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shabir_pashteen,60,TRUE,FALSE,NA,NA
"@RehamKhan1 Kuch ain aunty ki tera acha kam karein, Manzoor Pashteen ka peechay choar dein. Don't attack on Nationa… https://t.co/AFM85F3RvQ",FALSE,0,RehamKhan1,2018-12-09T12:35:14Z,TRUE,1.07172E+18,1.07175E+18,298959564,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",farhan_78996,0,FALSE,FALSE,NA,NA
RT @GandapurPAT: @DarabDawar @manzoorpashteen @SindhGovt Manzoor Pashteen is a traitor and an Indian agent. Disloyal to Pakistan,FALSE,0,NA,2018-12-09T12:34:12Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DarabDawar,1,TRUE,FALSE,NA,NA
"RT @MirMAKOfficial: Mohsin’s Last Name Is Not DAWAR. It is JAVED. So it is not #MohsinDawar it’s Mohsin Javed. 

Ali’s last name is not Waz…",FALSE,0,NA,2018-12-09T12:29:05Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Abu_Huzaifa123,177,TRUE,FALSE,NA,NA
"RT @FarhatullahB: CM Sindh has ordered withdrawal of expulsion order of Manzoor Pashteen. Thank you Chairman BBZ, CM Murad. It is not victo…",FALSE,0,NA,2018-12-09T12:27:59Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sardarkhanbabar,444,TRUE,FALSE,NA,NA
RT @justice4pashtun: [English subtitles] Manzoor Pashteen responds to DG ISPR's threat of consequences. https://t.co/FTgf4ZiPnZ,FALSE,0,NA,2018-12-09T12:27:48Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sardarkhanbabar,49,TRUE,FALSE,NA,NA
@DarabDawar @manzoorpashteen @SindhGovt Manzoor Pashteen is a traitor and an Indian agent. Disloyal to Pakistan,FALSE,3,DarabDawar,2018-12-09T12:25:25Z,FALSE,1.07141E+18,1.07174E+18,9.77905E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GandapurPAT,1,FALSE,FALSE,NA,NA
RT @Maha_Ansari_: After a flop scene of his RAW and NDS sponsored drama in Kpk he is now trying to incite people in Khi against Pak &amp; its i…,FALSE,0,NA,2018-12-09T12:22:03Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aunmuhammadk1,1,TRUE,FALSE,NA,NA
RT @FarhatullahB: Notification withdrawing earlier order expelling Manzoor Pashteen from province issued by Sindh government tonight. https…,FALSE,0,NA,2018-12-09T12:21:51Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",asim_meer,197,TRUE,FALSE,NA,NA
"RT @IhteshamAfghan: [English subtitles] Manzoor Pashteen responds to DG ISPR's threat of consequences. Part4

@a_baittani

@mjdawar

@husai…",FALSE,0,NA,2018-12-09T12:19:11Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",naeemkh44778438,53,TRUE,FALSE,NA,NA
RT @FarhatullahB: Notification withdrawing earlier order expelling Manzoor Pashteen from province issued by Sindh government tonight. https…,FALSE,0,NA,2018-12-09T12:17:58Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RiziRezvan,197,TRUE,FALSE,NA,NA
"RT @FarhatullahB: CM Sindh has ordered withdrawal of expulsion order of Manzoor Pashteen. Thank you Chairman BBZ, CM Murad. It is not victo…",FALSE,0,NA,2018-12-09T12:15:45Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ah_malik1,444,TRUE,FALSE,NA,NA
"RT @FGMallick: Manzoor Pashteen should be happy with this, PPP Govt also banned Imran Khan’s entry in Sindh at least twice between 2007/09…",FALSE,0,NA,2018-12-09T12:15:06Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SiddiquiNaveid,6,TRUE,FALSE,NA,NA
"RT @khattak63: #Bannu
There is zero noise required for patients with cardiac problems.
Just outside #CardiacCareCentre in #DHHospital in #B…",FALSE,0,NA,2018-12-09T12:15:02Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Shahid_Pashteen,3,TRUE,FALSE,NA,NA
@bahar_wazir @SoniaKhanptm Ahh agha dera active v khu bzy v I think,FALSE,1,bahar_wazir,2018-12-09T12:14:50Z,FALSE,1.07173E+18,1.07174E+18,7.15983E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",haider_pashteen,0,FALSE,FALSE,NA,NA
RT @FarhatullahB: Notification withdrawing earlier order expelling Manzoor Pashteen from province issued by Sindh government tonight. https…,FALSE,0,NA,2018-12-09T12:14:47Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Raomrafique6,197,TRUE,FALSE,NA,NA
RT @TahaSSiddiqui: Dear intellechawals: Threats to journalists in Pakistan r real. Army+gov is silencing media. There've been multiple atta…,FALSE,0,NA,2018-12-09T12:14:00Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Shahid_Pashteen,56,TRUE,FALSE,NA,NA
"RT @AhmedNoorz: Pindi boy for information ministry
How's that for a change https://t.co/LgGS6yEJw9",FALSE,0,NA,2018-12-09T12:12:27Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Shahid_Pashteen,1,TRUE,FALSE,NA,NA
@Shahid_Pashteen @UN How could u claim that they r forcibly converted n how dare u blame peer of bharchoondi sharif… https://t.co/s9aSsxSOSd,FALSE,0,Shahid_Pashteen,2018-12-09T12:12:10Z,TRUE,1.07174E+18,1.07174E+18,420649182,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mehru42542039,0,FALSE,FALSE,NA,NA
"RT @justice4pashtun: [English subtitles] Manzoor Pashteen, responds to DG ISPR's claim that PTM's demands have been met. 1/2 https://t.co/y…",FALSE,0,NA,2018-12-09T12:11:53Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sardarkhanbabar,90,TRUE,FALSE,NA,NA
"RT @TheMYSTIC11: Tragedy of India is the whole establishment has been corrupted by anti-Hindu forces, under influence of pro-Islamist @INCI…",FALSE,0,NA,2018-12-09T12:11:46Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Shahid_Pashteen,1,TRUE,FALSE,NA,NA
@FATFWatch @FATFNews please take action against #Pakistan where terrorists are openly collecting donations to wage… https://t.co/d33TRsd8Pl,FALSE,0,FATFWatch,2018-12-09T12:11:23Z,TRUE,NA,1.07174E+18,1196683214,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Shahid_Pashteen,0,FALSE,FALSE,NA,NA
RT @PirriazAfghan2: The international community and the human right organizations should build pressure to release  Rashid Yousizai. They s…,FALSE,0,NA,2018-12-09T12:06:53Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Shahid_Pashteen,2,TRUE,FALSE,NA,NA
RT @FarhatullahB: Chairman ppp BBZ in meeting with CM Sindh talking about thoughtless decision to expel Manzoor Pashteen from Sindh. Let’s…,FALSE,0,NA,2018-12-09T12:06:39Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HSodher,141,TRUE,FALSE,NA,NA
"RT @Olasyaar007: Having been removed from the protective precinct of the law and ""disappeared"" from society, victims of enforced disappeara…",FALSE,0,NA,2018-12-09T12:06:38Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Shahid_Pashteen,15,TRUE,FALSE,NA,NA
"RT @IhteshamAfghan: [English subtitles] Manzoor Pashteen responds to DG ISPR's threat of consequences. Part4

@a_baittani

@mjdawar

@husai…",FALSE,0,NA,2018-12-09T12:05:47Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dragoneyeskhan,53,TRUE,FALSE,NA,NA
RT @FarhatullahB: Notification withdrawing earlier order expelling Manzoor Pashteen from province issued by Sindh government tonight. https…,FALSE,0,NA,2018-12-09T12:05:13Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shahidsudd,197,TRUE,FALSE,NA,NA
"RT @zamuran98: #FBM Free Balochistan Movement activists has started their first day of the three-day campaign in Germany today. 
This campa…",FALSE,0,NA,2018-12-09T12:04:36Z,FALSE,NA,1.07174E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BalochBatin,6,TRUE,FALSE,NA,NA
